expression	source_url
unsung hero	https://en.wiktionary.org/wiki/unsung_hero
unwieldy	https://en.wiktionary.org/wiki/unwieldy
up to no good	https://en.wiktionary.org/wiki/up_to_no_good
walk and chew gum at the same time	https://en.wiktionary.org/wiki/walk_and_chew_gum_at_the_same_time
wasn't	https://en.wiktionary.org/wiki/wasn't
way out of a paper bag	https://en.wiktionary.org/wiki/way_out_of_a_paper_bag
way to run a railroad	https://en.wiktionary.org/wiki/way_to_run_a_railroad
whack	https://en.wiktionary.org/wiki/whack
wieldy	https://en.wiktionary.org/wiki/wieldy
wild horses	https://en.wiktionary.org/wiki/wild_horses
with it	https://en.wiktionary.org/wiki/with_it
with us	https://en.wiktionary.org/wiki/with_us
within a bull's roar	https://en.wiktionary.org/wiki/within_a_bull's_roar
wouldn't be seen dead	https://en.wiktionary.org/wiki/wouldn't_be_seen_dead
wouldn't harm a fly	https://en.wiktionary.org/wiki/wouldn't_harm_a_fly
wouldn't shout if a shark bit him	https://en.wiktionary.org/wiki/wouldn't_shout_if_a_shark_bit_him
wouldn't touch with yours	https://en.wiktionary.org/wiki/wouldn't_touch_with_yours
wouldn't work in an iron lung	https://en.wiktionary.org/wiki/wouldn't_work_in_an_iron_lung
yet	https://en.wiktionary.org/wiki/yet
you don't dip your pen in company ink	https://en.wiktionary.org/wiki/you_don't_dip_your_pen_in_company_ink
